[2026-04-14T07:29:50.652Z] GET / | User: anon
[2026-04-14T07:29:50.675Z] GET /style.css | User: anon
[2026-04-14T07:29:50.676Z] GET /app.js?v=3 | User: anon
[2026-04-14T07:29:50.676Z] GET /assets/logo-gray.jpg | User: anon
[2026-04-14T07:29:50.885Z] GET /api/auth/me | User: anon
[2026-04-14T07:29:51.096Z] GET /api/user/logs?date=2026-04-14 | User: anon
[2026-04-14T07:29:51.099Z] GET /api/user/calorie-debt | User: anon
[2026-04-14T07:29:51.102Z] GET /api/user/saved-scenarios | User: anon
[2026-04-14T07:29:51.107Z] GET /api/user/logs-range?start=2026-03-16&end=2026-04-14 | User: anon
[2026-04-14T07:29:51.112Z] GET /api/user/logs-range?start=2026-01-14&end=2026-04-14 | User: anon
[2026-04-14T07:29:51.124Z] GET /api/user/logs-range?start=2026-04-08&end=2026-04-14 | User: anon
[2026-04-14T07:29:51.125Z] GET /api/user/logs-range?start=2026-03-31&end=2026-04-14 | User: anon
[2026-04-14T07:29:51.125Z] GET /api/user/logs-range?start=2026-04-01&end=2026-04-14 | User: anon
[2026-04-14T07:29:51.126Z] GET /api/user/shortcuts | User: anon
[2026-04-14T07:29:51.127Z] GET /api/user/logs-range?start=2026-03-18&end=2026-04-14 | User: anon
[2026-04-14T07:29:51.128Z] GET /api/user/logs-range?start=2026-03-17&end=2026-04-14 | User: anon
[2026-04-14T07:29:51.129Z] GET /api/user/calorie-debt | User: anon
[2026-04-14T07:29:52.076Z] GET /favicon.ico | User: anon
[2026-04-14T07:29:56.303Z] GET /api/locations | User: anon
[2026-04-14T07:29:56.308Z] GET /api/menu?locationSlug=the-commons-dining-hall-south-campus&periodSlug=breakfast&date=2026-04-14 | User: anon
[2026-04-14T07:29:59.566Z] GET /api/menu/status?locationSlug=the-commons-dining-hall-south-campus&periodSlug=breakfast&date=2026-04-14 | User: anon
[2026-04-14T07:30:02.563Z] GET /api/menu/status?locationSlug=the-commons-dining-hall-south-campus&periodSlug=breakfast&date=2026-04-14 | User: anon
[2026-04-14T07:30:05.566Z] GET /api/menu/status?locationSlug=the-commons-dining-hall-south-campus&periodSlug=breakfast&date=2026-04-14 | User: anon
[2026-04-14T07:30:05.579Z] GET /api/menu?locationSlug=the-commons-dining-hall-south-campus&periodSlug=breakfast&date=2026-04-14 | User: anon
[2026-04-14T07:30:05.590Z] GET /api/locations/the-commons-dining-hall-south-campus/wait-time | User: anon
